Frac_Year,Global,Land,Ocean
1979.042, 0.95, 0.97, 0.90
1979.125, -0.30, -1.79, 0.32
1979.208, 0.18, 1.01, -0.07
1979.292, -0.47, -1.26, -0.06
1979.375, -0.36, 0.77, -0.82
1979.458, -0.37, -1.08, -0.08
1979.542, -0.63, -0.47, -0.64
1979.625, -0.57, -0.29, -0.65
1979.708, -0.05, -0.31, 0.08
1979.792, -0.30, -0.11, -0.32
1979.875, -0.20, 0.78, -0.46
1979.958, 0.47, 2.19, -0.10
1980.042, -1.00, -2.25, -0.33
1980.125, -2.01, -2.43, -1.82
1980.208, -1.04, -1.27, -1.02
1980.292, 0.74, 0.23, 0.82
1980.375, -0.60, -0.84, -0.41
1980.458, -0.71, -0.05, -0.93
1980.542, -0.47, -0.00, -0.59
1980.625, -0.16, 0.02, -0.15
1980.708, -0.35, 0.11, -0.52
1980.792, 0.16, -0.97, 0.57
1980.875, 0.19, -0.37, 0.33
1980.958, 0.37, -0.69, 0.74
1981.042, 0.32, 0.64, 0.26
1981.125, -1.06, 0.07, -1.55
1981.208, 0.06, -0.56, 0.28
1981.292, -0.90, -0.22, -1.22
1981.375, 0.11, 0.22, -0.03
1981.458, 0.04, 0.00, -0.11
1981.542, 0.61, 0.53, 0.57
1981.625, -0.15, -0.28, -0.12
1981.708, 0.16, -0.28, 0.27
1981.792, 0.32, 0.86, 0.08
1981.875, -0.31, -0.79, -0.28
1981.958, 0.53, -0.83, 0.97
1982.042, 0.38, -0.25, 0.50
1982.125, 1.49, 1.87, 1.31
1982.208, -0.29, -0.34, -0.32
1982.292, 1.55, 1.64, 1.54
1982.375, 0.10, 0.62, -0.04
1982.458, 0.46, 0.67, 0.50
1982.542, 0.02, -0.62, 0.30
1982.625, 0.78, 0.96, 0.84
1982.708, 0.44, 0.85, 0.50
1982.792, 0.74, 2.44, 0.25
1982.875, 0.45, 1.90, 0.15
1982.958, 0.62, 1.49, 0.48
1983.042, -0.80, -0.34, -0.81
1983.125, -0.58, -0.74, -0.41
1983.208, -0.90, -1.26, -0.68
1983.292, -1.23, -0.28, -1.45
1983.375, -0.39, -0.24, -0.42
1983.458, 0.45, 0.40, 0.55
1983.542, -0.62, -1.81, -0.25
1983.625, 0.02, -0.83, 0.32
1983.708, 0.39, -0.83, 0.75
1983.792, 0.72, -1.34, 1.44
1983.875, 0.71, -0.27, 1.04
1983.958, 1.00, 1.09, 0.93
1984.042, 1.32, 1.05, 1.36
1984.125, 0.60, -0.71, 0.95
1984.208, 0.53, 1.04, 0.11
1984.292, -0.07, -1.80, 0.54
1984.375, 0.52, -0.74, 0.88
1984.458, -0.47, -0.75, -0.38
1984.542, 0.01, 0.17, -0.02
1984.625, -0.14, -0.38, -0.09
1984.708, -1.80, -0.43, -2.05
1984.792, -0.52, -0.76, -0.35
1984.875, -0.15, -0.36, -0.03
1984.958, -0.55, 1.38, -0.99
1985.042, -2.14, 0.64, -3.37
1985.125, -1.35, -4.67, -0.34
1985.208, 0.16, 0.93, -0.07
1985.292, 0.64, -0.86, 1.10
1985.375, -0.13, 0.46, -0.38
1985.458, 0.07, -0.18, 0.12
1985.542, 0.75, 1.63, 0.52
1985.625, -2.27, -0.87, -2.72
1985.708, -0.34, -0.56, -0.34
1985.792, -0.31, -1.34, 0.07
1985.875, -0.31, -0.09, -0.39
1985.958, -0.63, -1.60, -0.28
1986.042, -2.06, -2.29, -1.72
1986.125, 0.64, 0.78, 0.57
1986.208, -0.86, -0.39, -1.03
1986.292, 0.94, 1.55, 0.68
1986.375, 0.30, 0.44, 0.32
1986.458, 0.49, -0.13, 0.55
1986.542, 0.22, 0.36, 0.22
1986.625, -0.43, -0.30, -0.48
1986.708, 0.10, 0.77, -0.08
1986.792, -0.15, 0.67, -0.45
1986.875, -0.46, -0.51, -0.43
1986.958, -0.49, -0.71, -0.26
1987.042, -0.89, -1.25, -0.58
1987.125, -0.94, -1.24, -0.79
1987.208, 0.80, -0.12, 1.23
1987.292, -0.87, -0.53, -0.91
1987.375, 0.86, 1.84, 0.49
1987.458, -0.04, -0.25, 0.09
1987.542, -0.98, -2.08, -0.53
1987.625, -0.61, -0.80, -0.44
1987.708, -0.05, -0.44, 0.21
1987.792, -0.43, -0.44, -0.32
1987.875, 0.14, -0.51, 0.26
1987.958, -0.92, -2.22, -0.53
1988.042, 0.93, 0.14, 1.25
1988.125, -0.14, 0.05, -0.27
1988.208, -0.56, -1.31, -0.23
1988.292, 0.72, 1.59, 0.41
1988.375, -0.64, -1.28, -0.40
1988.458, 0.26, -0.16, 0.43
1988.542, -0.34, 0.69, -0.73
1988.625, 0.55, 0.79, 0.42
1988.708, -0.15, -0.37, -0.15
1988.792, -0.50, -1.56, -0.08
1988.875, -0.22, -0.13, -0.19
1988.958, 0.88, 0.74, 0.85
1989.042, 0.42, 0.13, 0.56
1989.125, 1.71, 0.84, 2.22
1989.208, 1.62, 2.34, 1.29
1989.292, 0.24, -0.87, 0.61
1989.375, 0.61, -0.20, 0.85
1989.458, 0.62, 1.04, 0.43
1989.542, 0.32, 0.23, 0.31
1989.625, 0.36, 0.84, 0.14
1989.708, 0.83, -0.23, 0.96
1989.792, -0.26, -0.35, -0.26
1989.875, 0.60, 1.17, 0.36
1989.958, 0.24, 0.34, 0.39
1990.042, -0.11, 0.37, -0.17
1990.125, 1.62, 1.30, 1.90
1990.208, 0.72, -0.31, 1.07
1990.292, 0.66, 0.67, 0.75
1990.375, -0.25, -0.41, -0.26
1990.458, -0.38, -0.78, -0.40
1990.542, 0.10, 0.55, -0.13
1990.625, 0.19, -0.02, 0.16
1990.708, 0.45, 0.44, 0.33
1990.792, 0.31, 0.40, 0.30
1990.875, -0.27, -0.12, -0.30
1990.958, 0.31, 0.04, 0.41
1991.042, 0.76, 1.79, 0.38
1991.125, -1.07, 0.11, -1.36
1991.208, -1.12, -0.00, -1.37
1991.292, 0.11, 0.11, 0.06
1991.375, 0.33, 1.12, 0.12
1991.458, -0.34, -0.61, -0.12
1991.542, 0.30, -0.27, 0.49
1991.625, 0.74, -0.45, 1.12
1991.708, 0.18, 0.06, 0.24
1991.792, 1.58, 0.31, 1.95
1991.875, 0.71, 1.13, 0.74
1991.958, 1.48, 2.31, 1.30
1992.042, 0.81, 1.81, 0.49
1992.125, 0.15, 0.00, 0.32
1992.208, 0.30, 1.58, -0.01
1992.292, 0.23, 0.79, 0.08
1992.375, 1.02, 1.49, 0.90
1992.458, -0.55, -0.98, -0.30
1992.542, 0.29, 0.33, 0.30
1992.625, 1.05, 1.46, 1.04
1992.708, 0.70, 0.99, 0.52
1992.792, 0.10, -0.11, 0.06
1992.875, 0.89, 0.99, 0.86
1992.958, 0.37, 1.62, -0.08
1993.042, 0.44, 1.13, 0.14
1993.125, 0.84, 1.92, 0.45
1993.208, 0.26, -0.08, 0.51
1993.292, 0.28, 1.68, -0.20
1993.375, 0.28, 0.18, 0.32
1993.458, -0.30, -0.35, -0.28
1993.542, -0.53, -0.72, -0.35
1993.625, 0.06, 0.03, 0.09
1993.708, 0.53, 0.45, 0.63
1993.792, 0.37, 0.66, 0.27
1993.875, 0.11, 0.64, -0.07
1993.958, -0.77, -1.69, -0.56
1994.042, 0.69, -0.18, 0.83
1994.125, 0.15, -0.41, 0.37
1994.208, 0.10, -0.24, 0.18
1994.292, -0.11, -0.32, -0.05
1994.375, -0.37, 0.17, -0.56
1994.458, 0.09, 0.87, -0.20
1994.542, -0.05, 0.37, -0.31
1994.625, 0.43, 0.46, 0.31
1994.708, -1.09, -0.02, -1.49
1994.792, 0.57, 1.91, 0.16
1994.875, -0.80, 0.55, -1.08
1994.958, -1.75, -0.64, -2.06
1995.042, -0.90, -1.86, -0.61
1995.125, 0.25, 1.17, -0.10
1995.208, -0.32, 0.79, -0.79
1995.292, -1.38, -0.36, -1.72
1995.375, -0.72, 0.10, -0.95
1995.458, -0.82, 0.08, -1.11
1995.542, 1.14, 0.35, 1.32
1995.625, -1.04, -1.36, -0.92
1995.708, -0.15, -0.71, -0.01
1995.792, -0.37, -0.59, -0.36
1995.875, -0.50, -1.76, -0.17
1995.958, 0.63, 1.11, 0.15
1996.042, 1.15, 0.69, 1.16
1996.125, -0.33, 1.18, -0.97
1996.208, -0.49, 0.75, -0.90
1996.292, -0.45, -1.29, -0.20
1996.375, -0.02, 1.19, -0.50
1996.458, 0.18, 0.11, 0.15
1996.542, -0.09, 0.79, -0.32
1996.625, 1.01, 0.39, 1.05
1996.708, -0.03, -0.06, 0.07
1996.792, -1.04, 0.01, -1.26
1996.875, -0.38, -1.06, -0.25
1996.958, -0.21, -0.75, -0.12
1997.042, 0.72, 1.05, 0.47
1997.125, -0.66, 0.15, -1.09
1997.208, 0.87, 1.54, 0.70
1997.292, 0.03, 1.87, -0.51
1997.375, -0.22, 0.28, -0.28
1997.458, 0.19, 0.94, 0.07
1997.542, -1.10, -1.74, -0.97
1997.625, -0.16, 0.15, -0.17
1997.708, -0.22, 1.07, -0.49
1997.792, -0.17, 2.27, -0.89
1997.875, 0.31, 2.11, -0.26
1997.958, -0.14, 1.41, -0.65
1998.042, -0.08, 0.78, -0.33
1998.125, -1.52, -0.79, -1.66
1998.208, -1.39, -1.23, -1.34
1998.292, -1.97, -1.22, -2.07
1998.375, -1.00, -1.69, -0.69
1998.458, -0.24, 0.28, -0.42
1998.542, 0.24, 0.48, 0.14
1998.625, 0.17, 1.07, -0.14
1998.708, -0.44, -0.24, -0.61
1998.792, -0.93, -1.38, -0.92
1998.875, -0.70, -1.27, -0.61
1998.958, -0.31, 0.07, -0.49
1999.042, -0.09, -1.17, 0.10
1999.125, 1.52, 1.88, 1.27
1999.208, 0.43, -1.67, 1.06
1999.292, 0.09, -1.36, 0.48
1999.375, 0.26, -1.40, 0.81
1999.458, 0.54, 0.09, 0.68
1999.542, 0.12, 0.30, 0.04
1999.625, -0.38, -0.60, -0.31
1999.708, 0.30, -0.26, 0.49
1999.792, 0.23, -0.46, 0.32
1999.875, 0.33, -0.96, 0.66
1999.958, -0.63, -1.88, -0.22
2000.042, 0.12, -0.62, 0.42
2000.125, 0.69, -0.33, 0.96
2000.208, 1.11, -0.18, 1.35
2000.292, 0.75, -1.02, 1.26
2000.375, -0.05, -1.30, 0.21
2000.458, 0.46, -0.23, 0.69
2000.542, 0.05, 0.47, 0.00
2000.625, -0.01, -0.27, 0.04
2000.708, 0.56, -0.29, 0.78
2000.792, -0.42, -0.25, -0.57
2000.875, -0.32, -0.30, -0.34
2000.958, -0.02, -0.60, 0.01
2001.042, 0.94, -0.22, 1.25
2001.125, 0.32, 0.57, 0.37
2001.208, 1.28, 0.27, 1.45
2001.292, -0.19, -1.64, 0.29
2001.375, -0.10, -0.81, 0.14
2001.458, 0.82, -0.32, 1.15
2001.542, 0.26, 0.07, 0.44
2001.625, -1.16, -2.03, -0.79
2001.708, 0.54, -0.40, 0.93
2001.792, -0.73, -2.09, -0.31
2001.875, -0.63, -1.44, -0.42
2001.958, 0.42, 0.73, 0.27
2002.042, -0.32, -1.62, 0.25
2002.125, -0.48, -1.40, -0.15
2002.208, 0.26, 0.63, 0.24
2002.292, -0.69, -2.04, -0.16
2002.375, -0.53, -2.09, 0.24
2002.458, -0.20, -1.38, 0.21
2002.542, -0.66, -0.66, -0.57
2002.625, -0.63, -0.99, -0.37
2002.708, -0.46, -0.68, -0.35
2002.792, 0.30, 0.48, 0.37
2002.875, -0.37, -1.39, -0.06
2002.958, 0.30, 0.64, 0.27
2003.042, 0.20, -1.15, 0.52
2003.125, -1.17, -1.64, -1.01
2003.208, -0.74, -1.55, -0.48
2003.292, -0.84, -1.27, -0.61
2003.375, -0.96, -2.16, -0.49
2003.458, 0.01, 0.20, 0.07
2003.542, -0.18, -0.57, 0.03
2003.625, 0.09, 0.02, 0.12
2003.708, 0.21, -0.09, 0.27
2003.792, -0.62, -1.02, -0.50
2003.875, -0.14, 0.09, -0.28
2003.958, -0.24, -0.34, -0.32
2004.042, 0.98, 1.07, 0.87
2004.125, -1.09, -2.95, -0.58
2004.208, -0.28, -2.37, 0.36
2004.292, 0.56, 1.58, 0.26
2004.375, -0.27, -2.37, 0.46
2004.458, -0.25, -1.46, 0.17
2004.542, 0.51, -0.02, 0.75
2004.625, -1.13, -1.25, -1.07
2004.708, 0.50, -0.23, 0.80
2004.792, -0.95, -1.20, -0.75
2004.875, -0.09, 1.31, -0.45
2004.958, 0.12, 0.80, -0.04
2005.042, 0.23, 0.24, 0.19
2005.125, -1.69, -1.12, -1.74
2005.208, -0.14, -0.97, 0.04
2005.292, -1.28, -2.25, -0.88
2005.375, 0.37, 0.55, 0.39
2005.458, -0.01, -0.53, 0.24
2005.542, -0.32, -1.06, -0.08
2005.625, -0.47, -1.09, -0.20
2005.708, 0.07, -1.25, 0.51
2005.792, -0.30, -1.15, 0.13
2005.875, -0.19, -0.03, -0.31
2005.958, 0.20, 0.44, -0.00
2006.042, 0.37, 0.03, 0.50
2006.125, -0.34, -0.12, -0.33
2006.208, -0.24, -1.31, 0.07
2006.292, 0.23, -0.39, 0.31
2006.375, -0.51, -0.95, -0.41
2006.458, -0.43, -1.55, -0.09
2006.542, -1.79, -1.84, -1.82
2006.625, -0.56, -0.97, -0.29
2006.708, 0.12, -0.56, 0.46
2006.792, -1.04, 0.75, -1.50
2006.875, -0.04, -0.15, 0.04
2006.958, -0.74, -1.26, -0.45
2007.042, -0.12, -0.19, -0.20
2007.125, -1.27, -1.63, -1.02
2007.208, -0.61, -1.73, -0.31
2007.292, -0.52, -0.97, -0.36
2007.375, -0.29, -1.23, 0.01
2007.458, 1.05, 0.06, 1.42
2007.542, 0.11, 0.18, 0.16
2007.625, -0.09, -1.79, 0.54
2007.708, -0.10, -1.57, 0.39
